2020-06-30 23:40:10 [8]  麻绳小桥第[3]刀整刀,对2周目Boss2造成619,018伤害,剩余血量[6,349,836]
2020-07-01 00:00:05 [8]  SEAREA第[2.0]刀整刀,对2周目Boss2造成653,179伤害,剩余血量[5,696,657]
2020-07-01 00:11:00 [8]  哈卡第[2]刀整刀,对2周目Boss2造成737,679伤害,剩余血量[4,958,978]
2020-07-01 00:13:37 [8]  哈卡第[3]刀整刀,对2周目Boss2造成553,191伤害,剩余血量[4,405,787]
2020-07-01 00:16:11 [8]  雾雨十六夜第[1]刀整刀,对2周目Boss2造成1,015,200伤害,剩余血量[3,390,587]
2020-07-01 00:20:38 [8]  SEAREA第[3.0]刀整刀,对2周目Boss2造成527,152伤害,剩余血量[2,863,435]
2020-07-01 00:26:35 [8]  Ar.ak第[3]刀整刀,对2周目Boss2造成[630,494]伤害,剩余血量[2,232,941]
2020-07-01 00:43:46 [8]  雾雨十六夜第[2]刀整刀,对2周目Boss2造成[436,389]伤害,剩余血量[1,796,552]
2020-07-01 01:10:07 [8]  拉贝特第[1]刀整刀,对2周目Boss2造成[997,890]伤害,剩余血量[798,662]
2020-07-01 01:39:46 [8]  【蜗牛】莉玛Official第[2]刀整刀,对2周目Boss2造成[843,348]伤害,剩余血量[585,817]
2020-07-01 01:53:43 [8]  【蜗牛】莉玛Official第[2.5]刀尾刀,对2周目Boss3造成[585,817]伤害,当前Boss已被击杀
2020-07-01 01:54:34 [8]  【蜗牛】莉玛Official第[3.0]刀补刀,对2周目Boss3造成[62,155]伤害,剩余血量[9,937,845]
2020-07-01 02:17:55 [8]  无期第[3]刀整刀,对2周目Boss3造成[335,234]伤害,剩余血量[9,602,611]
2020-07-01 02:22:34 [8]  雾雨十六夜第[3]刀整刀,对2周目Boss3造成[232,813]伤害,剩余血量[9,369,798]
2020-07-01 03:03:10 [8]  拉贝特第[2]刀整刀,对2周目Boss3造成[746,896]伤害,剩余血量[8,622,902]
2020-07-01 03:03:30 [8]  拉贝特第[3]刀整刀,对2周目Boss3造成[379,565]伤害,剩余血量[8,243,337]
===============
Day Change
=====================
2020-07-01 08:31:53 [8]  永远滴神第[1]刀整刀,对2周目Boss3造成[643,104]伤害,剩余血量[7,600,233]
2020-07-01 08:43:54 [8]  菠萝灵波第[1]刀整刀,对2周目Boss3造成[402,953]伤害,剩余血量[7,197,280]
2020-07-01 09:34:46 [8]  警觉的食材第[1]刀整刀,对2周目Boss3造成[699,982]伤害,剩余血量[6,497,298]
2020-07-01 14:25:47 [8]  Luxerion第[1]刀整刀,对2周目Boss3造成[636,727]伤害,剩余血量[5,860,571]
2020-07-01 14:27:39 [8]  Railgun第[1]刀整刀,对2周目Boss3造成[674,319]伤害,剩余血量[5,186,252]
2020-07-01 14:29:48 [8]  Railgun第[2]刀整刀,对2周目Boss3造成[631,453]伤害,剩余血量[4,554,799]
2020-07-01 14:56:50 [8]  霸王黄龙第[1]刀整刀,对2周目Boss3造成[679,323]伤害,剩余血量[3,875,476]
2020-07-01 14:59:23 [8]  Luxerion第[2]刀整刀,对2周目Boss3造成[423,291]伤害,剩余血量[3,452,185]
2020-07-01 15:12:45 [8]  沫凉第[1]刀整刀,对2周目Boss3造成[653,185]伤害,剩余血量[2,799,000]
2020-07-01 15:17:18 [8]  Ar.ak第[1]刀整刀,对2周目Boss3造成[639,358]伤害,剩余血量[2,159,642]
2020-07-01 15:38:15 [8]  在?看看熊猫第[1]刀整刀,对2周目Boss3造成[502,813]伤害,剩余血量[1,656,829]
